Sector,Outcome,Output,Area,Partner,Category,Value
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,UNICEF,Refugee,588000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,MoSA,Refugee,48240
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,Save the Children,Refugee,36000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,CLMC Lebanon,Stabilization,5800
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,UNICEF,Stabilization,427000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,MoSA,Stabilization,27960
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,Save the Children,Stabilization,24000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Akkar,Save the Children,Refugee,280
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Akkar,IRC,Refugee,29260
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Akkar,Save the Children,Stabilization,120
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Akkar,IRC,Stabilization,12540
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Beirut,Save the Children,Refugee,1435
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Beirut,IRC,Refugee,74760
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Beirut,Save the Children,Stabilization,615
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Beirut,IRC,Stabilization,32040
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,Save the Children,Refugee,2590
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,IRC,Refugee,29260
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,Save the Children,Stabilization,1110
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,IRC,Stabilization,12540
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,UNHCR,Refugee,420000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,UNHCR,Stabilization,180000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,IR Lebanon,Refugee,26600
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,IRC,Refugee,29260
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,IR Lebanon,Stabilization,11400
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,IRC,Stabilization,12540
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Tripoli,Save the Children,Refugee,1522.5
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Tripoli,IRC,Refugee,64260
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Tripoli,Save the Children,Stabilization,652.5
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Tripoli,IRC,Stabilization,27540
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Akkar,UNICEF,Refugee,24948
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Akkar,UNICEF,Stabilization,10692
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Beirut,MAP,Refugee,5250
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Beirut,UNICEF,Refugee,24948
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Beirut,MAP,Stabilization,2250
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Beirut,UNICEF,Stabilization,10692
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,MAP,Refugee,5250
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,UNICEF,Refugee,37422
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,Mercy Corps,Refugee,149160
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,MAP,Stabilization,2250
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,UNICEF,Stabilization,16038
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Bekaa,Mercy Corps,Stabilization,101640
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,WVI,Refugee,77000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Countrywide,WVI,Stabilization,33000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,MAP,Refugee,5250
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,UNICEF,Refugee,12474
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,TdH   L,Refugee,33000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,Mercy Corps,Refugee,76840
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,MAP,Stabilization,2250
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,UNICEF,Stabilization,5346
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,TdH   L,Stabilization,17000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,South,Mercy Corps,Stabilization,52360
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Tripoli,MAP,Refugee,5250
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Tripoli,UNICEF,Refugee,24948
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Tripoli,MAP,Stabilization,2250
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.3 Capacity of child protection actors and other actors is improved,Tripoli,UNICEF,Stabilization,10692
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,MoSA,Refugee,64200
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,UNRWA,Refugee,7770
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,UNICEF,Refugee,275200
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,MoSA,Stabilization,27800
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,UNRWA,Stabilization,3330
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,UNICEF,Stabilization,160800
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,South,IR Lebanon,Refugee,21900
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,South,IR Lebanon,Stabilization,15100
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Akkar,CONCERN,Refugee,3500
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Akkar,CONCERN,Stabilization,1500
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Beirut,Save the Children,Refugee,5750
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Beirut,CONCERN,Refugee,3500
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Beirut,Save the Children,Stabilization,4750
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Beirut,CONCERN,Stabilization,1500
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Bekaa,Save the Children,Refugee,5750
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Bekaa,Save the Children,Stabilization,4750
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,WVI,Refugee,60000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,WVI,Stabilization,40000
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Tripoli,Save the Children,Refugee,1750
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Tripoli,Save the Children,Stabilization,750
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,CLMC Lebanon,Refugee,95305
"Protection (PRT, SGBV, CP): Pop Target = 2,185,000","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,Countrywide,CLMC Lebanon,Stabilization,79745
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Akkar,PU AMI,Refugee,50400
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Akkar,IOCC,Refugee,70000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Akkar,ACTED,Refugee,76000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Akkar,PU AMI,Stabilization,201600
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Akkar,IOCC,Stabilization,280000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Akkar,ACTED,Stabilization,304000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,PU AMI,Refugee,16800
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,ACTED,Refugee,38000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,WVI,Refugee,130000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,IOCC,Refugee,70000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,PU AMI,Stabilization,67200
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,ACTED,Stabilization,152000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,WVI,Stabilization,220000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,IOCC,Stabilization,280000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Bekaa,NRC,Refugee,23520
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Bekaa,WVI,Refugee,90000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Bekaa,IOCC,Refugee,70000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Bekaa,NRC,Stabilization,43680
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Bekaa,WVI,Stabilization,210000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Bekaa,IOCC,Stabilization,280000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,UNRWA,Refugee,310462
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,RET,Refugee,140000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,MEHE,Refugee,540000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,UNICEF,Refugee,1117800
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,UNRWA,Stabilization,1241848
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,RET,Stabilization,560000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,MEHE,Stabilization,2160000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,UNICEF,Stabilization,4471200
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,South,PU AMI,Refugee,33600
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,South,IOCC,Refugee,70000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,South,PU AMI,Stabilization,134400
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,South,IOCC,Stabilization,280000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Tripoli,IOCC,Refugee,70000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Tripoli,IOCC,Stabilization,280000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,HWA,Refugee,40000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Beirut,HWA,Stabilization,10000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Bekaa,Seraphim Global,Refugee,64000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Bekaa,Seraphim Global,Stabilization,16000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,ANERA,Refugee,12000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Countrywide,ANERA,Stabilization,3000
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,South,NRC,Refugee,44800
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,South,NRC,Stabilization,11200
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Tripoli,NRC,Refugee,8960
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.1. School rehabiliation and equipment,Tripoli,NRC,Stabilization,2240
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.2. Enrolment support for formal basic education for boys and girls,Akkar,UNICEF,Refugee,7348168.8
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.2. Enrolment support for formal basic education for boys and girls,Akkar,UNICEF,Stabilization,1837042.2
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.2. Enrolment support for formal basic education for boys and girls,Beirut,UNICEF,Refugee,7348168.8
"Education (EDU): Pop Target = 377,000",EDU - 1. Ensuring equitable access to eductional opportunities for boys and girls,EDU - 1.2. Enrolment support for formal basic education for boys and girls,Beirut,UNICEF,Stabilization,1837042.2
