DumpTotal,Sector,Outcome,,Output,Activity,Area,Partner,Value
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Bekaa,MAP,8750
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Bekaa,UNHCR,471305.8
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Bekaa,UNICEF,210000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,South,CLMC Lebanon,28350
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,South,MAP,8750
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,South,TdH - L,63000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,South,UNHCR,206517.5
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,South,UNICEF,70000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Tripoli,CLMC Lebanon,28350
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Tripoli,DRC,224000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Tripoli,IRC,70000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Tripoli,MAP,8750
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Tripoli,Save the Children,28980
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Tripoli,UNHCR,252923.3
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,1. Provision of CM services for children,Tripoli,UNICEF,140000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Akkar,MoSA,106400
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Akkar,Save the Children,6930
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Akkar,UNHCR,84308
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Akkar,UNICEF,210000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Beirut,CLMC Lebanon,119700
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Beirut,Makhzoumi,97790
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Beirut,MoSA,106400
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Beirut,Save the Children,9555
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Beirut,SOS Village,172200
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Beirut,UNHCR,140000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Beirut,UNICEF,210000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Bekaa,CLMC Lebanon,94500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Bekaa,MoSA,106400
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Bekaa,Save the Children,9555
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Bekaa,UNHCR,257075.7
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Bekaa,UNICEF,315000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,South,CLMC Lebanon,94500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,South,MoSA,106400
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,South,UNHCR,144604.6
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,South,UNICEF,105000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Tripoli,CLMC Lebanon,94500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Tripoli,MoSA,106400
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Tripoli,Save the Children,6930
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Tripoli,UNHCR,84308
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.2 Child protection violations are mitigated and addressed,2. Children accessing specialized services,Tripoli,UNICEF,210000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,1. Guidelines for alternative care,Countrywide,CLMC Lebanon,960
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,1. Guidelines for alternative care,Countrywide,MoSA,30600
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,1. Guidelines for alternative care,Countrywide,Save the Children,36000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,1. Guidelines for alternative care,Countrywide,UNICEF,15000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Akkar,IRC,29260
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Akkar,Save the Children,280
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Beirut,IRC,29260
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Beirut,Save the Children,210
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Bekaa,IRC,29260
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Bekaa,Save the Children,840
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Countrywide,CLMC Lebanon,12040
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Countrywide,MoSA,17640
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Countrywide,UNHCR,245000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Countrywide,UNICEF,255500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,South,IR Lebanon,21000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,South,IRC,29260
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Tripoli,IRC,29260
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,2. Endorse implement of National SOPs on CM,Tripoli,Save the Children,210
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,3. Development of national Case Management IMS,Countrywide,UNICEF,17500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Akkar,UNICEF,24948
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Beirut,IRC,45500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Beirut,MAP,5250
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Beirut,Save the Children,1225
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Beirut,UNICEF,24948
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Bekaa,MAP,5250
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Bekaa,Mercy Corps,83160
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Bekaa,Save the Children,1750
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Bekaa,UNICEF,37422
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Countrywide,UNHCR,175000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Countrywide,WVI,77000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,South,IR Lebanon,5600
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,South,MAP,5250
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,South,Mercy Corps,42840
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,South,TdH - L,28000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,South,UNICEF,12474
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Tripoli,IRC,35000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Tripoli,MAP,5250
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Tripoli,Save the Children,1312.5
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,4. Training of CP and non CP actors,Tripoli,UNICEF,24948
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,5.  Support to MOSA SDCs,Bekaa,Mercy Corps,66000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,5.  Support to MOSA SDCs,Countrywide,UNICEF,300000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,5.  Support to MOSA SDCs,South,Mercy Corps,34000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.3 Capacity of child protection actors and other actors is improved,5.  Support to MOSA SDCs,South,TdH - L,5000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,1. Independent evaluation of PSS,Countrywide,MoSA,7280
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,1. Independent evaluation of PSS,Countrywide,UNICEF,105000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,1. Independent evaluation of PSS,Countrywide,UNRWA,7770
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,1. Independent evaluation of PSS,South,IR Lebanon,1400
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,Akkar,CONCERN,3500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,Beirut,CONCERN,3500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,Beirut,Save the Children,1750
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,Bekaa,Save the Children,1750
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,Countrywide,MoSA,32900
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,Countrywide,UNICEF,22400
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,Countrywide,WVI,35000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,South,IR Lebanon,3500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,2. Mainstreaming of child protection in other stud,Tripoli,Save the Children,1750
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,3. Advocacy for access to birth registration,Countrywide,CLMC Lebanon,27230
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,3. Advocacy for access to birth registration,Countrywide,UNICEF,44800
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,3. Advocacy for access to birth registration,South,IR Lebanon,7000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,4. Advocacy for Child Labor,Beirut,Save the Children,4000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,4. Advocacy for Child Labor,Bekaa,Save the Children,4000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,4. Advocacy for Child Labor,Countrywide,CLMC Lebanon,68075
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,4. Advocacy for Child Labor,Countrywide,MoSA,500
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,4. Advocacy for Child Labor,Countrywide,UNICEF,75000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,4. Advocacy for Child Labor,Countrywide,WVI,25000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,4. Advocacy for Child Labor,South,IR Lebanon,10000
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,5. Advocacy in reporting MRM violations,Countrywide,MoSA,23520
SUM of Selected,"Protection (PRT, SGBV, CP)","CP - Vulnerable boys and girls are protected from violence, exploitation, abuse and neglect through equitable access to quality child protection services",,CP - 1.4 Child Protection programming and advocacy are informed by enhanced knowledge and evidence,5. Advocacy in reporting MRM violations,Countrywide,UNICEF,28000
